  ,Name,ruby,Type,Rarity,Cost,Text,Image,effectType1,effectValue1,effectType2,effectValue2,effectType3,effectValue3,effectType4,effectValue4,effectType5,effectValue5,effectType6,effectValue6,effectType7,effectValue7,effectType8,effectValue8,effectType9,effectValue9,effectType10,effectValue10
1001,ドルツヴァイ・アングリフ,,A,R,7,"エネルギーの最大値ー３。
Attackを２回する。
相手のエネルギーの最大値ー２。",1001,ManaReduceSelf,3,Attack,1,Attack,1,ManaReduceOpponent,2,,,,,,,,,,,,
1002,基本の聖剣,きほんのせいけん,A,R,3,"エネルギーの最大値ー１。
Attackを１回する。",1002,ManaReduceSelf,1,Attack,1,,,,,,,,,,,,,,,,
1003,突撃衝動,ストレート・インパクト,A,R,2,"エネルギーの最大値ー１。
手札を２枚捨てる。
Attackを１回する。",1003,ManaReduceSelf,1,SelectDiscardSelf,2,Attack,1,,,,,,,,,,,,,,
1004,決死の煌めき,ファイナル・ベット,A,R,10,"エネルギーの最大値ー１０。
手札を全て捨てる。
Attackを５回する。",1004,ManaReduceSelf,10,SelectDiscardSelf,ALL,Attack,1,Attack,1,Attack,1,Attack,1,Attack,1,,,,,,
1009,瞬間双撃,クイックスウィープ,A,R,5,"エネルギーの最大値ー２。
Attackを２回する。",1009,ManaReduceSelf,2,Attack,1,Attack,1,,,,,,,,,,,,,,
1010,死と生,デッド・アンド・アライヴ,A,R,5,"エネルギーの最大値ー１。
ライフゾーンに１枚置く。
Attackを１回する。",1010,ManaReduceSelf,1,LifeAdd,1,Attack,1,,,,,,,,,,,,,,
1011,定められし運命,さだめられしうんめい,A,R,0,"エネルギーの最大値ー１０。
手札を全て捨てる。
Attackを１回する。",1011,ManaReduceSelf,10,SelectDiscardSelf,ALL,Attack,1,OpenLife,1,,,,,,,,,,,,
1012,見えざる神の手,アダムスキー,A,R,4,"エネルギーの最大値ー２。
手札を全て捨てる。
Attackを２回する。",1012,ManaReduceSelf,2,SelectDiscardSelf,ALL,Attack,1,Attack,1,,,,,,,,,,,,
2002,緊急防衛陣,きんきゅうぼうえいじん,B,R,2,"Blockする。
１枚ドロー。
エネルギーの最大値＋１。",2002,Block,1,Draw,1,ManaBoost,1,,,,,,,,,,,,,,
2003,レオニダスの誇り,レオニダス・プライド,B,R,3,"Blockする。
手札を２枚捨てる。
Attackを１回する。",2003,Block,1,SelectDiscardSelf,2,Attack,1,,,,,,,,,,,,,,
2004,血涙の堆肥,けつるいのたいひ,B,R,2,ライフゾーンに１枚置く。,2004,LifeAdd,1,,,,,,,,,,,,,,,,,,
2006,生命の増殖,ゾクゾク・ライフ,B,R,5,"エネルギーの最大値ー１。
ライフゾーンに２枚置く。",2006,ManaReduceSelf,1,LifeAdd,2,,,,,,,,,,,,,,,,
2008,Resurrect Shield・α,リザレクトシールド・アルファ,B,R,3,"Blockする。
エネルギーの最大値＋１。
エネルギーを２回復。",2008,Block,1,ManaBoost,1,ManaRecover,2,,,,,,,,,,,,,,
2009,Resurrect Shield・β,リザレクトシールド・ベータ,B,R,3,"Blockする。
相手の手札をランダムに１枚捨てさせる。
エネルギーを２回復。",2009,Block,1,RandomDiscardOpponent,1,ManaRecover,2,,,,,,,,,,,,,,
2010,Resurrect Shield・γ,リザレクトシールド・ガンマ,B,R,3,"Blockする。
２枚ドロー。
エネルギーを２回復。",2010,Block,1,Draw,2,ManaRecover,2,,,,,,,,,,,,,,
3001,フローレンス・ラヴァ―,,D,R,6,"今が自分のターンならエネルギーの最大値をー２。
ライフゾーンに１枚置く。
２ドロー。
エネルギーを２回復。",3001,Defence,1,ManaReduceIfMyTurn,2,LifeAdd,1,Draw,2,ManaRecover,2,,,,,,,,,,
3002,悪霊拡散！,行きなさい！あたしの使い魔たち！,D,R,4,"自分のターンならエネルギーの最大値をー１。
相手の手札をランダムに２枚捨てさせる。
２枚ドロー。",3002,Defence,1,ManaReduceIfMyTurn,1,RandomDiscardOpponent,2,Draw,2,,,,,,,,,,,,
3003,圧倒的知識の収束,ブレイン・コンヴァージェンス,D,R,7,"自分のターンならエネルギーの最大値をー３。
２枚ドロー。
捨て札から２枚加える。
エネルギーを３回復。",3003,Defence,1,ManaReduceIfMyTurn,3,Draw,2,RecoverDiscard,2,ManaRecover,3,,,,,,,,,,
3004,傲慢と強欲と暴食の邂逅,トライアル・シンズ,D,R,3,"エネルギーの最大値＋２。
２ドローし、手札を１枚捨てる。
相手の手札をランダムに１枚捨てさせる。",3004,Defence,1,ManaBoost,2,Draw,2,SelectDiscardSelf,1,RandomDiscardOpponent,1,,,,,,,,,,
3005,ゴミ捨て場の掘り出し物,ダスト・サルベージ,D,R,3,"２枚ドロー。
エネルギーの最大値＋１。
捨て札から１枚加える。
エネルギーを全て回復。
自分のターンならターンを終了する。",3005,Defence,1,Draw,2,ManaBoost,1,RecoverDiscard,1,ManaRecover,ALL,EndTurn,1,,,,,,,,
3006,反撃の狼煙[蒼],はんげきののろし[そう],D,R,2,エネルギーの最大値＋２。,3006,Defence,1,ManaBoost,2,,,,,,,,,,,,,,,,
